Date,Open,High,Low,Close,Volume,Turnover
24-07-2013,6032.2,6047.25,5962.6,5990.5,151931749,64136400000
25-07-2013,5970.4,5990.65,5896.4,5907.5,237081135,87627700000
26-07-2013,5937.95,5944.5,5869.5,5886.2,174535664,64198600000
29-07-2013,5869.95,5886,5825.8,5831.65,173430612,48123000000
30-07-2013,5836.05,5861.3,5747.6,5755.05,181489174,60069100000
31-07-2013,5738.35,5752.1,5675.75,5742,235469131,87171600000
01-08-2013,5776.9,5808.5,5676.85,5727.85,216762208,71640400000
02-08-2013,5750.05,5761.85,5649,5677.9,222494469,63502600000
05-08-2013,5682.4,5721,5661.5,5685.4,197167952,55752100000
06-08-2013,5664.9,5664.9,5521.8,5542.25,216227972,64244200000
07-08-2013,5549.3,5561.45,5486.85,5519.1,245010773,77252300000
08-08-2013,5510.05,5577.6,5510.05,5565.65,204918722,69688500000
12-08-2013,5606.7,5644.1,5557.1,5612.4,195708484,70639200000
13-08-2013,5600.25,5704.75,5578.9,5699.3,222997337,70733400000
14-08-2013,5715.4,5754.55,5690.2,5742.3,223656483,69702000000
16-08-2013,5705.45,5716.6,5496.05,5507.85,248094094,88072700000
19-08-2013,5497.55,5499.65,5360.65,5414.75,219672819,67130300000
20-08-2013,5353.45,5417.8,5306.35,5401.45,261052792,79822200000
21-08-2013,5494.45,5504.1,5268.45,5302.55,255004311,85092900000
22-08-2013,5282.8,5418.95,5254.05,5408.45,284468531,90758600000
23-08-2013,5428.75,5478.8,5377.8,5471.75,251511910,77632000000
26-08-2013,5499.4,5528.7,5454.45,5476.5,241996358,64650200000
27-08-2013,5426.5,5427.4,5274.25,5287.45,306037010,82368400000
28-08-2013,5233.45,5317.7,5118.85,5285,335993745,1.07E+11
29-08-2013,5316.5,5428.9,5303,5409.05,326499273,1.06E+11
30-08-2013,5407.45,5493.3,5360.2,5471.8,336401705,1.14E+11
02-09-2013,5480.25,5564.9,5478.85,5550.75,214232444,61359400000
03-09-2013,5574.7,5580.95,5323.75,5341.45,250298844,73048100000
04-09-2013,5358.65,5460.25,5318.9,5448.1,237230494,72526100000
05-09-2013,5553.75,5625.75,5552.7,5592.95,274937515,94841900000
06-09-2013,5617.45,5688.6,5566.15,5680.4,253030740,88215400000
10-09-2013,5738.5,5904.85,5738.2,5896.75,275244175,1.03E+11
11-09-2013,5887.25,5924.35,5832.7,5913.15,265006808,79805100000
12-09-2013,5931.15,5932,5815.8,5850.7,272987246,76677600000
13-09-2013,5828,5884.3,5822.9,5850.6,190768447,64033700000
16-09-2013,5930.3,5957.25,5798.15,5840.55,219455842,78190500000
17-09-2013,5824.2,5857.8,5804.9,5850.2,157938740,55506400000
